_ID	logtime	flx	frx	rlx	rrx	pdbx	rdbx	fldx	frdx	rldx	rrdx	pfp	prp	pfdbp	prdbp	rlp	rrp	rldbp	rrdbp	steering_angle	craft_speed	pitchfrontin	pitchfrontout	pitchrearin	pitchrearout	pitchDBfrontin	pitchDBfrontout	pitchDBrearin	pitchDBrearout	pitchDBfrontacclock	pitchDBrearacclock	pitchDBfrontactivelock	pitchDBrearactivelock	rollleftin	rollleftout	rollrightin	rollrightout	rollDBleftin	rollDBleftout	rollDBrightin	rollDBrightout	rollDBleftacclock	rollDBrightacclock	rollDBleftactivelock	rollDBrightactivelock	damperFLcompression	damperFLrebound	damperFRcompression	damperFRrebound	damperRLcompression	damperRLrebound	damperRRcompression	damperRRrebound	pitchactive	rollactive	manual_active	setup_active	damping_active	active_active	dump_active	INS_Pitch	INS_Roll	INS_Yaw	INS_GyroX	INS_GyroY	INS_GyroZ	INS_Latitude	INS_Longitude	INS_Altitude	INS_VelX	INS_VelY	INS_VelZ	INS_AccX	INS_AccY	INS_AccZ	pitchProValvePressure	rollProValvePressure
0	148.4187979	202.4158	218.5756	270.9533	302.0567	0.945	-6.365	46.18492	64.2601	-31.32248	-36.59973	82.916	56.2691	88.3229	14.30373	66.9455	69.6594	53.7225	61.2611	-1.787628	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	550.8916	899.4238	341.9576	459.8849	1250.761	290	854.1535	290	1200	1389.604	False	False	True	True	False	-0.0659	-0.0025	2.6881	-0.008	-0.041	-0.018	-33.60629	115.1178	37217	12930	-110	490	-0.980632	0	0	96.7556	96.3706
0	148.4500471	205.4948	223.7164	269.8478	301.3979	0.96	-6.35	76.97487	128.5198	-27.63748	-16.47034	82.11	56.4068	87.9572	16.55941	67.0512	69.336	54.24664	60.5933	-1.776169	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	550.8916	899.4238	341.9576	459.8849	1250.761	290	854.1535	290	1200	1389.604	False	False	True	True	False	-0.067	-0.0029	2.6876	-0.011	-0.024	-0.018	-33.60629	115.1178	37204	12890	-110	510	-0.9745158	0	0	96.8172	96.3706
0	148.4969209	209.8054	231.4276	269.3319	300.9587	1.005	-6.33	107.7652	192.7799	-12.89749	-10.97946	81.1955	56.3915	86.6057	17.70568	67.0663	68.7354	55.20962	59.846	-1.776169	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	341.9576	411.3692	300.3476	1074.295	1188.001	290	1278.378	290	1200	1389.845	False	False	True	True	False	-0.068	-0.0031	2.6869	0.002	-0.024	-0.012	-33.6063	115.1178	37157	12930	-90	550	-0.9561672	0	0	96.7864	96.3706
0	148.5281701	215.3476	237.5323	269.3319	300.9587	1.035	-6.3	138.5548	152.6176	0	0	80.4205	56.4068	85.4291	18.72437	66.9908	68.3966	55.6389	59.5439	-1.776169	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	300.3476	314.1712	292.0608	1212.073	1228.369	290	1491.211	290	1200	1389.401	False	False	True	True	False	-0.0684	-0.0028	2.6861	-0.002	-0.012	-0.015	-33.60631	115.1178	37145	12880	-100	600	-0.9133537	0	0	96.7864	96.3706
0	148.5750439	221.1977	243.637	269.4793	300.8855	1.07	-6.27	146.2524	152.6173	3.684998	-1.830292	79.537	56.3915	84.3797	20.08663	66.87	68.1194	55.83485	59.3054	-1.776169	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	292.0608	294.8138	290.4104	1118.658	476.88	290	529.226	290	1200	1388.733	False	False	True	True	False	-0.0684	-0.0033	2.6857	0	-0.01	-0.009	-33.60631	115.1178	37096	12840	-90	620	-0.8878695	0	0	96.7248	96.3706
0	148.6219177	227.6636	248.7778	269.553	300.8855	1.1	-6.22	161.6478	128.5202	1.842499	0	78.824	56.3456	83.378	20.938	66.5378	68.0732	55.24712	59.5121	-1.776169	23.09287	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	290.4104	290.9587	290.0817	1087.881	327.2179	1126.957	1159.622	290	1200	1388.064	False	False	True	True	False	-0.0678	-0.0023	2.6848	0.015	0.011	-0.027	-33.60632	115.1178	37087	12800	-100	660	-0.8511723	0	0	96.7556	96.2936
0	148.6531669	231.3584	251.9908	269.9952	300.6659	1.11	-6.175	92.36984	80.32494	11.05499	-5.490112	78.421	56.3456	82.7579	21.43734	66.1905	68.0886	54.52579	59.7983	-1.776169	23.09287	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	290.0817	993.1649	290.0163	448.9012	297.4121	456.6833	463.1886	290	1200	1391.227	False	False	True	True	False	-0.0671	-0.0021	2.684	-0.008	0.017	-0.022	-33.60633	115.1178	37069	12760	-90	700	-0.8766565	0	0	96.7248	96.3706
0	148.7156653	233.8216	252.9547	270.2163	300.2999	1.115	-6.115	61.5799	24.09744	5.527496	-9.149933	78.328	56.3456	82.5194	21.45717	65.9791	68.0732	54.44247	60.2594	-1.776169	23.09287	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	290.0163	430.0381	290.0032	936.1547	291.4761	1011.191	1035.18	290	1200	1390.23	False	False	True	True	False	-0.0662	-0.0017	2.6831	0.019	0.031	-0.018	-33.60633	115.1178	37063	12720	-90	720	-0.9153925	0	0	96.7248	96.2936
0	148.7469145	235.3611	252.9547	270.2163	299.5679	1.12	-6.07	38.48763	0	0	-18.29987	78.2195	56.3456	82.3922	21.63136	65.9036	68.2118	54.19754	60.6092	-1.816276	23.09287	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	290.0032	1080.498	290.0006	418.6843	290.294	433.6281	952.4655	290	1200	1388.897	False	False	True	True	False	-0.0651	-0.0014	2.6823	-0.005	0.029	-0.018	-33.60633	115.1178	37059	12680	-80	720	-0.9745158	0	0	96.7248	96.2936
0	148.7781637	235.669	253.276	269.9952	298.6895	1.125	-6.03	7.697678	8.032608	-5.527496	-21.95969	78.173	56.4374	82.2809	21.90424	65.9036	68.2888	53.96774	60.5933	-1.816276	23.09287	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	290.0032	1080.498	290.0006	418.6843	290.294	433.6281	952.4655	290	1200	1388.897	False	False	True	True	False	-0.0642	-0.0015	2.6814	-0.005	0.022	-0.021	-33.60634	115.1178	37055	12680	-60	730	-0.9724771	0	0	96.7248	96.2936
0	148.8250375	235.669	252.6334	269.1108	298.3967	1.125	-5.98	0	-16.06483	-22.10999	-7.320404	78.297	56.4374	82.2014	21.4803	65.9036	68.412	53.73682	60.7046	-1.816276	23.09287	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	290.0006	447.4308	290.0001	1181.175	1081.646	318.6041	1204.472	290	1200	1382.692	False	False	True	True	False	-0.0633	-0.0011	2.6804	0.004	0.019	-0.026	-33.60634	115.1178	37052	12640	-60	720	-1.013252	0	0	96.7248	96.2782
